,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,PR炭火伊酒屋 フォルトゥーナ ,050-5484-2626,,埼玉県,坂戸市,緑町14-7,蒲田駅西口会館B1,https://r.gnavi.co.jp/b229502/?sc_type=area&sc_area=jp&sc_dsp=rs_296644,True
1,PRくいもの屋わん 蒲田店,050-5484-7856,,東京都,大田区,西蒲田7-5-10,2F,https://r.gnavi.co.jp/a127627/?sc_type=area&sc_area=jp&sc_dsp=rs_296332,True
2,くずし割烹小町 ,050-5493-8454,,兵庫県,神戸市,須磨区須磨浦通4-7-8,,https://r.gnavi.co.jp/k5mvpwy10000/,True
3,隠れ家もつ鍋居酒屋 風風 ,050-5486-8782,,福岡県,福岡市,中央区福浜2-4-1,1F,https://r.gnavi.co.jp/p9nk8j0r0000/,True
4,あつた辨天 ,050-5486-1683,,愛知県,名古屋市,熱田区神宮3-7-1,別府亀の井ホテル1F,https://r.gnavi.co.jp/19wtajzp0000/,True
5,PR鮮度にこだわる 新鮮鮮魚と完全個室 吉丸屋別邸 神田駅前,03-6380-4398,,東京都,千代田区,内神田3-7-8,東京宝石第二ビル3F,https://r.gnavi.co.jp/gezrzdtb0000/?sc_type=area&sc_area=jp&sc_dsp=rs_301755,True
6,寿司政 ,050-5488-0439,,奈良県,桜井市,粟殿472,B1,https://r.gnavi.co.jp/1spwk8eh0000/,True
7,てっぺん ,050-5493-4791,,長崎県,西彼杵郡時津町,左底郷35-4,東京建物八重洲ビルB2,https://r.gnavi.co.jp/f202500/,True
8,やく味屋 ,050-5485-8830,,京都,府京都市,右京区嵯峨野開町24-9,小枝銀座ビル2F,https://r.gnavi.co.jp/kbvb700/,True
9,見附居酒屋 集 ,0258-86-8864,,新潟県,見附市,本町2-6-19,,https://r.gnavi.co.jp/a4e9h94t0000/,True
10,島唄居酒屋 喜山 ,050-5492-4189,,沖縄県,宮古島市,平良字西里244,ディーライフビル1F,https://r.gnavi.co.jp/8ndg41500000/,True
