,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,URL,SSL
0,居酒屋 弘,050-5488-0249,,大阪府,大阪市,此花区西九条2-2-18,,True
1,居酒屋 千,050-5493-5501,,東京都,渋谷区,宇田川町26-5,,True
2,居酒屋 空,050-5486-9408,,鹿児島県,薩摩川内市,向田本町3-6,,True
3,居酒屋 響,050-5484-8090,,新潟県,魚沼市,小出島125-7,,True
4,居酒屋 凛,050-5486-7959,,埼玉県,越谷市,弥十郎158-1,,True
5,居酒屋 暁,050-5492-6912,,岐阜県,可児市,広見630-1,,True
6,居酒屋 兜,050-5486-4018,,京都,府長岡京市,開田1-21-21,,True
7,居酒屋 こっこ,050-5489-4974,,沖縄県,名護市,城1-3-6,,True
8,居酒屋 海,050-5484-7266,,神奈川県,海老名市,中央1-17-22,,True
9,居酒屋 光,050-5493-3938,,大阪府,大阪市,浪速区恵美須東3-2-9,,True
10,居酒屋 新,050-5494-1742,,大阪府,大阪市,中央区島之内2-12-8,,True
11,居酒屋 空,050-5488-5813,,埼玉県,さいたま市,南区別所7-9-11,,True
12,居酒屋 雪,050-5489-0244,,長野県,千曲市,上山田温泉2-9-6,,True
13,居酒屋 万 住吉店,050-5485-9371,,兵庫県,神戸市,東灘区住吉宮町4-3-9,,True
14,居酒屋 栞,050-5486-8860,,栃木県,鹿沼市,西茂呂1-3-16,,True
15,昴 居酒屋,050-2018-2741,,埼玉県,蕨市,中央3-19-20,,True
16,居酒屋 蔵 富士宮店,050-5485-4014,,静岡県,富士宮市,黒田1-16,,True
17,居酒屋 寅,050-5488-9604,,宮城県,仙台市,若林区南材木町8,,True
18,居酒屋 万,050-5489-6230,,福岡県,福岡市,博多区元町1-2-14,,True
19,居酒屋 輝,050-5488-5289,,神奈川県,川崎市,中原区新丸子町769-2,,True
20,居酒屋 蔵,050-5492-2181,,千葉県,袖ケ浦市,蔵波台7-14-12,,True
21,居酒屋 信,050-5487-0559,,新潟県,柏崎市,関町2-29,,True
22,居酒屋 蔵,050-5486-6180,,静岡県,静岡市,葵区鷹匠2-4-44,,True
23,居酒屋 なかい,050-5489-4681,,栃木県,宇都宮市,池上町1-1,,True
24,居酒屋 玄,090-8658-9731,,京都,府舞鶴市,浜155,,True
25,居酒屋 暖,050-5493-7572,,滋賀県,大津市,真野2-7-1,,True
26,居酒屋 感,050-5487-1047,,熊本県,熊本市,中央区下通1-11-20,,True
27,居酒屋 螢,050-5487-0508,,滋賀県,長浜市,高田町31,,True
28,居酒屋 きぶな,050-5486-7519,,栃木県,宇都宮市,元今泉4-13-12,,True
29,居酒屋 のあーる,046-215-9168,,神奈川県,厚木市,寿町1-1-9,,True
30,居酒屋 のあーる,046-215-9168,,神奈川県,厚木市,寿町1-1-9,,True
31,居酒屋 しん,050-5488-6304,,大阪府,大阪市,中央区南船場2-4-23,,True
32,居酒屋 出世 沼津駅前店,050-5485-5019,,静岡県,沼津市,高島町21-1,,True
33,居酒屋 釧路 本館,050-5486-3194,,東京都,台東区,上野3-27-7,,True
34,居酒屋 兎馬,03-3710-5319,,東京都,目黒区,青葉台1-28-7,,True
35,居酒屋 西濃,050-5484-5698,,茨城県,水戸市,末広町3-2-11,,True
36,居酒屋 大勢,050-5487-6119,,熊本県,上益城郡御船町,木倉三藏1135,,True
37,居酒屋 三喜,050-5484-5437,,大阪府,大阪市,北区角田町9-21,,True
38,居酒屋 七海,050-5487-8378,,東京都,台東区,浅草橋1-20-4,,True
39,肉×野菜 居酒屋 芯 ‐shin‐ 立川店,050-5487-9252,,東京都,立川市,柴崎町3-6-17,,True
40,居酒屋 大関,050-5488-7464,,東京都,町田市,能ヶ谷1-5-8,,True
41,居酒屋 いち,050-5484-9759,,山口県,下関市,武久町2-81-15,,True
42,居酒屋 三絃,050-5489-4067,,愛知県,岡崎市,明大寺本町1-8,,True
43,居酒屋 須佐,050-5487-0303,,大阪府,大阪市,中央区瓦屋町1-1-2,,True
44,居酒屋 肴や,050-5493-3705,,北海道,留萌市,開運町3-6,,True
45,居酒屋 和吉,050-5485-0850,,大阪府,高槻市,寿町3-33-24,,True
46,居酒屋 酒仙,050-5493-6655,,北海道,釧路市,昭和中央3-1-10,,True
47,居酒屋 義経 羽衣店,050-5484-8538,,大阪府,高石市,羽衣1-6-1,,True
48,居酒屋 雷蔵,050-5492-5322,,大阪府,茨木市,別院町3-4,,True
