,店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
0,居酒屋 空,050-5486-9408,鹿児島県,薩摩川内市,向田本町3-6,,https://r.gnavi.co.jp/38uj85x30000/,True
1,居酒屋 響,050-5484-8090,新潟県,魚沼市,小出島125-7,,https://r.gnavi.co.jp/683jvm8m0000/,True
2,居酒屋 弘,050-5488-0249,大阪府,大阪市,此花区西九条2-2-18,,https://r.gnavi.co.jp/p2h4b72j0000/,True
3,居酒屋 こっこ,050-5489-4974,沖縄県,名護市,城1-3-6,,https://r.gnavi.co.jp/gv1n2b860000/,True
4,居酒屋 千,050-5493-5501,東京都,渋谷区,宇田川町26-5,,https://r.gnavi.co.jp/g526401/,True
5,居酒屋 光,050-5493-3938,大阪府,大阪市,浪速区恵美須東3-2-9,,https://r.gnavi.co.jp/adaf54r10000/,True
6,居酒屋 新,050-5494-1742,大阪府,大阪市,中央区島之内2-12-8,,https://r.gnavi.co.jp/5kx2u16b0000/,True
7,居酒屋 寅,050-5488-9604,宮城県,仙台市,若林区南材木町8,,https://r.gnavi.co.jp/4p3tsu5w0000/,True
8,居酒屋 蔵 富士宮店,050-5485-4014,静岡県,富士宮市,黒田1-16,,https://r.gnavi.co.jp/a0reb46j0000/,True
9,居酒屋 凛,050-5486-7959,埼玉県,越谷市,弥十郎158-1,,https://r.gnavi.co.jp/j7m8ye400000/,True
10,居酒屋 暁,050-5492-6912,岐阜県,可児市,広見630-1,,https://r.gnavi.co.jp/9y10faa30000/,True
11,居酒屋 兜,050-5486-4018,京都,府長岡京市,開田1-21-21,,https://r.gnavi.co.jp/fer2zwmj0000/,True
12,居酒屋 海,050-5484-7266,神奈川県,海老名市,中央1-17-22,,https://r.gnavi.co.jp/9kgt1a0t0000/,True
13,居酒屋 雪,050-5489-0244,長野県,千曲市,上山田温泉2-9-6,,https://r.gnavi.co.jp/s73t37br0000/,True
14,居酒屋 万 住吉店,050-5485-9371,兵庫県,神戸市,東灘区住吉宮町4-3-9,,https://r.gnavi.co.jp/k714826/,True
15,居酒屋 栞,050-5486-8860,栃木県,鹿沼市,西茂呂1-3-16,,https://r.gnavi.co.jp/pbwwaa3g0000/,True
16,昴 居酒屋,050-2018-2741,埼玉県,蕨市,中央3-19-20,,https://r.gnavi.co.jp/d63gtr9p0000/,True
17,居酒屋 なかい,050-5489-4681,栃木県,宇都宮市,池上町1-1,,https://r.gnavi.co.jp/kc19fvhg0000/,True
18,居酒屋 輝,050-5488-5289,神奈川県,川崎市,中原区新丸子町769-2,,https://r.gnavi.co.jp/n8abtnmu0000/,True
19,居酒屋 空,050-5488-5813,埼玉県,さいたま市,南区別所7-9-11,,https://r.gnavi.co.jp/17ykz9z40000/,True
20,居酒屋 きぶな,050-5486-7519,栃木県,宇都宮市,元今泉4-13-12,,https://r.gnavi.co.jp/7kyyw8290000/,True
21,居酒屋 万,050-5489-6230,福岡県,福岡市,博多区元町1-2-14,,https://r.gnavi.co.jp/erwje1ps0000/,True
